"Hitro in enostavno obročno odplačevanje","Rambursarea ratelor: rapid și ușor"
"Že od",
"Vaš mesečni obrok","Rata lunară"
"Izračun obrokov","Calculul ratelor"
"Želim čim nižji obrok","Doresc cea mai mică rată posibilă"
"Odplačati želim čim prej","Doresc să plătesc cât mai rapid posibil"
"Želim si izbrati svoje obroke","Doresc să îmi selectez ratele"
"Informativni znesek za plačilo","Suma de plată informativă"
"Leanpay omogoča hitro in enostavno obročno odplačevanje preko spleta. ","Leanpay asigură plata online a ratelor în mod simplu și rapid. "
"Za obročno plačilo v košarici izberi Leanpay. ","Pentru plata în rate, selectați Leanpay în coșul de cumpărături. "
"Informativni izračun ne vključuje stroškov ocene tveganja.","Calculul informativ nu include costul de evaluare."
"Preveri svoj limit","Verifică limita"
"Več informacij","Mai multe informații"
"ali od %1 %2 / mesec","de la %1 %2 / lună"
